"39"	"40"	"42"	"47"	"48"	"49"	"41"	"43"	"44"	"45"
"AFFX-BioB-5_at"	-342	-87	22	-243	-130	-256	-62	86	-146	-187
"AFFX-BioB-M_at"	-200	-248	-153	-218	-177	-249	-23	-36	-74	-187
"AFFX-BioB-3_at"	41	262	17	-163	-28	-410	-7	-141	170	312
"AFFX-BioC-5_at"	328	295	276	182	266	24	142	252	174	142
"AFFX-BioC-3_at"	-224	-226	-211	-289	-170	-535	-233	-201	-32	114
"AFFX-BioDn-5_at"	-427	-493	-250	-268	-326	-810	-284	-384	-318	-148
"AFFX-BioDn-3_at"	-656	367	55	-285	-222	709	-167	-420	8	-184
"AFFX-CreX-5_at"	-292	-452	-141	-172	-93	-316	-97	-197	-152	-133
"AFFX-CreX-3_at"	137	194	0	52	10	27	-12	-60	-148	12
"AFFX-BioB-5_st"	-144	162	500	-134	159	14	-70	-468	17	97
"AFFX-BioB-M_st"	48	207	58	-140	-3	-69	-89	182	-100	-83
"AFFX-BioB-3_st"	-591	-960	-517	-321	-643	-1014	-355	-322	-373	-375
"AFFX-BioC-5_st"	-622	-622	-24	-439	-502	-906	-173	-319	-139	-426
"AFFX-BioC-3_st"	-342	175	-99	-149	-129	-193	-165	-137	-234	-187
"AFFX-BioDn-5_st"	294	171	13	-56	-31	331	-139	144	-103	23
"AFFX-BioDn-3_st"	241	-71	-77	117	247	303	144	-100	65	-34
"AFFX-CreX-5_st"	-7	-163	-182	-31	-100	-273	-111	-201	117	25
"AFFX-CreX-3_st"	-108	-445	-150	-243	-498	-566	-161	-408	-94	-171
"hum_alu_at"	45815	20958	25880	41275	11195	21777	28991	42401	27924	21229
"AFFX-DapX-5_at"	57	21	41	84	-20	182	67	9	-807	-774
"AFFX-DapX-M_at"	422	137	70	178	188	272	32	274	-355	-286
"AFFX-DapX-3_at"	-185	-83	-12	-172	-75	-135	21	-26	-41	-54
"AFFX-LysX-5_at"	-48	30	37	-14	-29	-12	-43	31	7	112
"AFFX-LysX-M_at"	-181	81	-15	-271	-19	-270	-103	-93	-1700	-664
"AFFX-LysX-3_at"	-4	300	49	73	150	-44	26	115	-2658	-1383
"AFFX-PheX-5_at"	-132	-76	-52	18	-119	-183	-86	-84	-207	-208
"AFFX-PheX-M_at"	-2	-234	-120	-2	-82	-206	-137	-228	-256	-178
"AFFX-PheX-3_at"	115	-49	-23	16	-63	109	-68	-12	103	431
"AFFX-ThrX-5_at"	41	24	-37	-23	-44	-88	-10	38	-59	-44
"AFFX-ThrX-M_at"	-50	-52	-70	102	-24	-94	-29	-74	-90	-78
"AFFX-ThrX-3_at"	-202	-370	-254	18	-232	-510	-167	-377	-249	-262
"AFFX-TrpnX-5_at"	113	-35	51	8	31	-39	-62	21	-51	-53
"AFFX-TrpnX-M_at"	-557	-616	-340	-462	-701	-3766	-262	-673	-3006	-2939
"AFFX-TrpnX-3_at"	-687	-409	-149	-212	-366	-403	-189	-353	-1899	-1534
"AFFX-HUMISGF3A/M97935_5_at"	-289	-417	-153	-191	-413	-358	-158	-372	-1725	-1573
"AFFX-HUMISGF3A/M97935_MA_at"	-195	-589	-124	52	-437	-257	-56	-312	-1694	-1365
"AFFX-HUMISGF3A/M97935_MB_at"	135	96	194	203	54	85	14	-31	126	77
"AFFX-HUMISGF3A/M97935_3_at"	267	373	532	1466	650	652	165	331	321	341
"AFFX-HUMRGE/M10098_5_at"	57	-175	-55	-18	1453	10309	104	307	223	-115
"AFFX-HUMRGE/M10098_M_at"	-238	-304	-341	-189	632	6028	53	-62	53	-238
"AFFX-HUMRGE/M10098_3_at"	-337	-371	-313	-233	362	3806	-109	-182	254	12
"AFFX-HUMGAPDH/M33197_5_at"	6339	10756	15439	7760	14640	10093	10171	12489	20411	16760
"AFFX-HUMGAPDH/M33197_M_at"	5199	10207	14345	9582	10675	10127	17294	16066	21334	14799
"AFFX-HUMGAPDH/M33197_3_at"	9045	21238	17735	16248	17262	19092	21971	19426	21580	17467
"AFFX-HSAC07/X00351_5_at"	19541	9857	15363	6858	11636	17374	9902	13309	20371	10761
"AFFX-HSAC07/X00351_M_at"	27768	13271	20794	12511	14738	23936	17778	16775	25052	15420
"AFFX-HSAC07/X00351_3_at"	24477	17671	20166	18311	15303	21605	20434	14547	22296	17384
"AFFX-HUMTFRR/M11507_5_at"	149	218	497	254	217	366	159	677	118	140
"AFFX-HUMTFRR/M11507_M_at"	19	-8	399	100	-6	-236	-90	473	-68	-109
"AFFX-HUMTFRR/M11507_3_at"	229	-61	859	216	222	138	81	795	72	89
"AFFX-M27830_5_at"	6418	92	207	170	1491	12616	281	584	30139	15215
"AFFX-M27830_M_at"	27707	2029	2582	851	2967	13679	765	1365	9827	12263
"AFFX-M27830_3_at"	456	344	822	323	963	816	-6	685	211	190
"AFFX-HSAC07/X00351_3_st"	622	601	1041	968	1218	4062	1668	1122	1562	546
"AFFX-HUMGAPDH/M33197_5_st"	72	-68	129	-56	35	-252	133	252	-16	53
"AFFX-HUMGAPDH/M33197_M_st"	267	257	8	268	95	0	220	124	308	131
"AFFX-HUMGAPDH/M33197_3_st"	-70	440	158	84	262	294	183	223	180	66
