Feature	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
AFFX-MurIL2_at	192.742	85.7533	176.757	135.575	64.4939	76.3569	160.505	65.9631	56.9039	135.608	63.4432	78.2126	83.0943	89.3372	91.0615	95.9377	179.845	152.467	180.834	85.4146	157.989	146.8	93.8829	103.855	64.434	175.615
AFFX-MurIL10_at	97.137	126.196	77.9216	93.3713	24.3986	85.5088	98.9086	81.6932	97.8015	90.4838	70.5733	94.5418	75.3455	68.5827	87.405	84.4581	87.6806	108.032	134.263	91.4031	-8.68811	85.0212	79.2998	71.6552	64.2369	78.7068
AFFX-MurIL4_at	45.8192	8.83135	33.0632	28.7072	5.94492	28.2925	30.9694	14.7923	14.2399	34.4874	20.3521	14.1554	20.6251	15.9231	20.1579	27.8139	32.7911	33.5292	19.8172	20.419	26.872	31.1488	22.342	19.0135	12.1686	17.378
AFFX-MurFAS_at	22.5445	3.60093	14.6883	12.3397	36.8663	11.2568	23.0034	16.2134	12.0375	4.54978	8.51782	27.2852	10.1616	20.2488	15.7849	14.3276	15.9488	14.6753	-7.91911	12.8875	11.9186	12.8324	11.139	7.55564	19.9849	8.96849
AFFX-BioB-5_at	96.7875	30.438	46.1271	70.9319	56.1744	42.6756	86.5156	30.7927	19.7183	46.352	39.1326	41.7698	80.2197	36.4903	36.4021	35.3054	58.6239	114.062	93.4402	22.5168	48.6462	90.2215	42.0053	57.5738	44.8216	61.7044
AFFX-BioB-M_at	89.073	25.8461	57.2033	69.9766	49.5822	26.1262	75.0083	42.3352	41.1207	91.5307	39.9136	49.8397	63.4794	24.7007	47.4641	47.3578	58.1331	104.122	115.831	58.1224	73.4221	64.6066	40.3068	41.8209	46.1087	49.4122
AFFX-BioB-3_at	265.964	181.08	164.926	161.469	236.976	156.803	211.257	235.994	175.64	229.671	222.287	181.522	177.979	105.778	223.689	183.585	192.221	305.567	300.689	146.081	142.913	187.132	170.583	133.279	187.407	144.784
AFFX-BioC-5_at	110.136	57.2889	67.398	77.2207	41.3488	37.978	110.551	47.769	24.7875	66.7302	62.9876	46.2777	61.8372	54.7061	62.0684	40.6705	53.2711	107.237	119.666	24.0654	98.8425	92.0846	53.3866	52.0164	65.9154	75.0043
AFFX-BioC-3_at	43.0794	16.8006	37.6002	46.5272	22.2475	61.6401	33.6623	31.4423	23.1008	39.7419	35.1225	28.1342	20.6908	27.6193	40.6454	35.5333	57.5078	41.1337	79.9829	23.4953	51.5609	48.1247	31.8358	29.9264	37.8611	60.4772
AFFX-BioDn-5_at	10.9187	16.1789	10.1495	9.73639	16.9028	5.33328	25.1182	38.7576	31.4041	0.398779	2.98167	17.7506	13.764	12.9047	13.3902	-6.86196	21.5091	3.10536	5.95347	5.66012	52.9338	15.7267	15.2116	-5.35282	13.1884	10.0385
AFFX-BioDn-3_at	751.227	515.004	622.901	669.859	414.165	654.078	704.781	472.087	456.496	601.335	674.334	540.255	364.233	620.004	569.133	520.495	401.43	757.495	595.908	381.23	501.744	659.613	590.156	461.23	367.433	790.943
AFFX-CreX-5_at	76.9437	40.907	62.0314	54.4218	29.0704	19.5271	56.3164	36.2044	34.4118	54.0765	48.572	42.9071	34.743	28.1586	48.5457	36.3279	57.8427	83.1914	66.6783	24.8852	61.9548	58.0325	28.7707	48.5346	31.1489	72.4567
AFFX-CreX-3_at	105.378	97.4932	74.0299	54.5277	54.9849	58.0877	96.632	52.731	35.4588	60.2642	90.2266	72.4584	46.9686	49.6642	65.2693	80.8682	53.4837	108.545	136.044	43.8619	49.8289	88.3787	91.5539	40.2298	36.2151	73.5309
AFFX-BioB-5_st	40.4826	7.45801	19.4069	20.6246	25.0496	12.4804	21.9102	23.772	24.184	29.7032	19.6438	20.6693	51.7133	16.4545	17.8828	16.4829	6.53565	42.4696	41.4669	21.6548	34.6108	36.9725	16.9959	8.39896	41.0271	21.088
